dimension_id,dimension_label,id,label,periodo_regulatorio,regime_regulatorio,meses_com_dados,qtd_serv_realizado,qtd_fora_prazo,compensacao_rs,compensacao_anualizada,exposicao_uc_mes,taxa_fora_prazo,fora_prazo_por_100k_uc_mes,compensacao_rs_por_uc_mes,share_serv_periodo,suppressed_low_volume,selector_enabled
economico,Grupo Econômico,amazonas,Grupo Amazonas,operacional_2023_plus,REN_1000,40,3610158,9226,2508019.81,752405.943,14976037,0.002555566820067155,61.60508284000634,0.1674688577492163,0.002393565383319267,False,True
economico,Grupo Econômico,amazonas,Grupo Amazonas,pos_2022,REN_1000,40,3610158,9226,2508019.81,752405.943,14976037,0.002555566820067155,61.60508284000634,0.1674688577492163,0.002393565383319267,False,True
economico,Grupo Econômico,cpfl,Grupo CPFL,operacional_2023_plus,REN_1000,40,136815193,74211,27938148.0242,8381444.407260001,95446184,0.0005424178292830387,77.75166789276773,0.29271100062208877,0.09070963372709573,False,True
economico,Grupo Econômico,cpfl,Grupo CPFL,pos_2022,REN_1000,40,136815193,74211,27938148.0242,8381444.407260001,95446184,0.0005424178292830387,77.75166789276773,0.29271100062208877,0.09070963372709573,False,True
economico,Grupo Econômico,castro_dis,Grupo Castro DIS,operacional_2023_plus,REN_1000,39,27097,21,90.86,27.956923076923076,27930,0.0007749935417204857,75.18796992481204,0.0032531328320802005,1.796554089649322e-05,False,True
economico,Grupo Econômico,castro_dis,Grupo Castro DIS,pos_2022,REN_1000,39,27097,21,90.86,27.956923076923076,27930,0.0007749935417204857,75.18796992481204,0.0032531328320802005,1.796554089649322e-05,False,True
economico,Grupo Econômico,cedrap,Grupo Cedrap,operacional_2023_plus,REN_1000,40,47135,72,3877.07,1163.121,91619,0.001527527315158587,78.58631943155896,0.0423173140942381,3.1250904902985864e-05,False,True
economico,Grupo Econômico,cedrap,Grupo Cedrap,pos_2022,REN_1000,40,47135,72,3877.07,1163.121,91619,0.001527527315158587,78.58631943155896,0.0423173140942381,3.1250904902985864e-05,False,True
economico,Grupo Econômico,cedri,Grupo Cedri,operacional_2023_plus,REN_1000,40,37425,47,5938.19,1781.4569999999999,36331,0.0012558450233800934,129.366106080207,0.16344691860945199,2.4813092521358777e-05,False,True
economico,Grupo Econômico,cedri,Grupo Cedri,pos_2022,REN_1000,40,37425,47,5938.19,1781.4569999999999,36331,0.0012558450233800934,129.366106080207,0.16344691860945199,2.4813092521358777e-05,False,True
economico,Grupo Econômico,cegero,Grupo Cegero,operacional_2023_plus,REN_1000,40,60495,39,823.53,247.05899999999997,89528,0.0006446813786263328,43.56179072468948,0.009198574747565007,4.0108698251959897e-05,False,True
economico,Grupo Econômico,cegero,Grupo Cegero,pos_2022,REN_1000,40,60495,39,823.53,247.05899999999997,89528,0.0006446813786263328,43.56179072468948,0.009198574747565007,4.0108698251959897e-05,False,True
economico,Grupo Econômico,cejama,Grupo Cejama,operacional_2023_plus,REN_1000,40,22537,25,900.87,270.261,61532,0.001109286950348316,40.62926607293766,0.01464067477085094,1.4942222208520048e-05,False,True
economico,Grupo Econômico,cejama,Grupo Cejama,pos_2022,REN_1000,40,22537,25,900.87,270.261,61532,0.001109286950348316,40.62926607293766,0.01464067477085094,1.4942222208520048e-05,False,True
economico,Grupo Econômico,celesc,Grupo Celesc,operacional_2023_plus,REN_1000,40,39308879,564472,27672657.39,8301797.217,0,0.014359910899519674,,,0.026062120281573738,False,True
economico,Grupo Econômico,celesc,Grupo Celesc,pos_2022,REN_1000,40,39308879,564472,27672657.39,8301797.217,0,0.014359910899519674,,,0.026062120281573738,False,True
economico,Grupo Econômico,celetro,Grupo Celetro,operacional_2023_plus,REN_1000,40,140590,137,12840.51,3852.153,311496,0.0009744647556725229,43.98130313069831,0.04122207026735496,9.32123627943308e-05,False,True
economico,Grupo Econômico,celetro,Grupo Celetro,pos_2022,REN_1000,40,140590,137,12840.51,3852.153,311496,0.0009744647556725229,43.98130313069831,0.04122207026735496,9.32123627943308e-05,False,True
economico,Grupo Econômico,cemig,Grupo Cemig,operacional_2023_plus,REN_1000,40,193141878,233995,170184562.71,51055368.81300001,134571534,0.0012115187157908862,173.88149859390026,1.264640133402953,0.12805470376921815,False,True
economico,Grupo Econômico,cemig,Grupo Cemig,pos_2022,REN_1000,40,193141878,233995,170184562.71,51055368.81300001,134571534,0.0012115187157908862,173.88149859390026,1.264640133402953,0.12805470376921815,False,True
