ano,mes,group_id,distributor_id,sigagente,nomagente,distributor_name_sig,distributor_name_legal,distributor_label,uc_ativa_mes
2023,1,amazonas,amazonas_energia,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia — AMAZONAS ENERGIA S.A.,1147194
2023,1,castro_dis,castro_dis,Castro-Dis,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE CASTRO,Castro-Dis,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE CASTRO,Castro-Dis — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE CASTRO,2304
2023,1,cedrap,cedrap,Cedrap,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,Cedrap,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,Cedrap — COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,7524
2023,1,cedri,cedri,Cedri,COOPERATIVA DE ELETRIFICAÇÃO E DISTRIBUIÇÃO DA REGIÃO DE ITARIRI,Cedri,COOPERATIVA DE ELETRIFICAÇÃO E DISTRIBUIÇÃO DA REGIÃO DE ITARIRI,Cedri — COOPERATIVA DE ELETRIFICAÇÃO E DISTRIBUIÇÃO DA REGIÃO DE ITARIRI,3017
2023,1,cegero,cegero,Cegero,COOPERATIVA DE ELETRICIDADE DE SÃO LUDGERO,Cegero,COOPERATIVA DE ELETRICIDADE DE SÃO LUDGERO,Cegero — COOPERATIVA DE ELETRICIDADE DE SÃO LUDGERO,6787
2023,1,cejama,cejama,Cejama,COOPERATIVA DE ELETRICIDADE JACINTO MACHADO,Cejama,COOPERATIVA DE ELETRICIDADE JACINTO MACHADO,Cejama — COOPERATIVA DE ELETRICIDADE JACINTO MACHADO,5598
2023,1,celesc_dis,celesc_dis,Celesc-Dis,CELESC DISTRIBUIÇÃO S.A.,Celesc-Dis,CELESC DISTRIBUIÇÃO S.A.,Celesc-Dis — CELESC DISTRIBUIÇÃO S.A.,3338130
2023,1,celetro,celetro,Celetro,COOPERATIVA DE ELETRIFICAÇÃO CENTRO JACUÍ LTDA.,Celetro,COOPERATIVA DE ELETRIFICAÇÃO CENTRO JACUÍ LTDA.,Celetro — COOPERATIVA DE ELETRIFICAÇÃO CENTRO JACUÍ LTDA.,23894
2023,1,cemig_d,cemig_d,Cemig-D,CEMIG DISTRIBUIÇÃO S.A.,Cemig-D,CEMIG DISTRIBUIÇÃO S.A.,Cemig-D — CEMIG DISTRIBUIÇÃO S.A.,10241282
2023,1,cemirim,cemirim,Cemirim,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE MOGI MIRIM,Cemirim,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE MOGI MIRIM,Cemirim — COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE MOGI MIRIM,16403
2023,1,ceprag,ceprag,Ceprag,COOPERATIVA DE ELETRICIDADE PRAIA GRANDE,Ceprag,COOPERATIVA DE ELETRICIDADE PRAIA GRANDE,Ceprag — COOPERATIVA DE ELETRICIDADE PRAIA GRANDE,20254
2023,1,ceraca,ceraca,Ceraçá,COOPERATIVA DISTRIBUIDORA DE ENERGIA VALE DO ARAÇÁ,Ceraçá,COOPERATIVA DISTRIBUIDORA DE ENERGIA VALE DO ARAÇÁ,Ceraçá — COOPERATIVA DISTRIBUIDORA DE ENERGIA VALE DO ARAÇÁ,12552
2023,1,ceral,ceral_anitapolis,Ceral Anitápolis,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE ANITÁPOLIS,Ceral Anitápolis,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE ANITÁPOLIS,Ceral Anitápolis — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE ANITÁPOLIS,3818
2023,1,ceral,ceral_araruama,Ceral Araruama,COOPERATIVA DE ELETRIFICAÇÃO RURAL DE ARARUAMA,Ceral Araruama,COOPERATIVA DE ELETRIFICAÇÃO RURAL DE ARARUAMA,Ceral Araruama — COOPERATIVA DE ELETRIFICAÇÃO RURAL DE ARARUAMA,7227
2023,1,cerbranorte,cerbranorte,Cerbranorte,COOPERATIVA DE ELETRIFICAÇÃO DE BRAÇO DO NORTE,Cerbranorte,COOPERATIVA DE ELETRIFICAÇÃO DE BRAÇO DO NORTE,Cerbranorte — COOPERATIVA DE ELETRIFICAÇÃO DE BRAÇO DO NORTE,17803
2023,1,cerci,cerci,Cerci,COOPERATIVA DE ELETRIFICAÇÃO RURAL CACHOEIRAS- ITABORAÍ LTDA,Cerci,COOPERATIVA DE ELETRIFICAÇÃO RURAL CACHOEIRAS- ITABORAÍ LTDA,Cerci — COOPERATIVA DE ELETRIFICAÇÃO RURAL CACHOEIRAS- ITABORAÍ LTDA,18051
2023,1,cercos,cercos,Cercos,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO RURAL CENTRO SUL DE SERGIPE LTDA,Cercos,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO RURAL CENTRO SUL DE SERGIPE LTDA,Cercos — COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO RURAL CENTRO SUL DE SERGIPE LTDA,7532
2023,1,cerej,cerej,Cerej,COOPERATIVA DE PRESTAÇÃO DE SERVIÇOS PÚBLICOS DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA SENADOR ESTEVES JÚNIOR,Cerej,COOPERATIVA DE PRESTAÇÃO DE SERVIÇOS PÚBLICOS DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA SENADOR ESTEVES JÚNIOR,Cerej — COOPERATIVA DE PRESTAÇÃO DE SERVIÇOS PÚBLICOS DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA SENADOR ESTEVES JÚNIOR,15288
2023,1,ceres,ceres,Ceres,COOPERATIVA DE ELETRIFICAÇÃO RURAL DE RESENDE LTDA.,Ceres,COOPERATIVA DE ELETRIFICAÇÃO RURAL DE RESENDE LTDA.,Ceres — COOPERATIVA DE ELETRIFICAÇÃO RURAL DE RESENDE LTDA.,5760
2023,1,cerfox,cerfox,Cerfox,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA FONTOURA XAVIER,Cerfox,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA FONTOURA XAVIER,Cerfox — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA FONTOURA XAVIER,16240
2023,1,cergal,cergal,Cergal,COOPERATIVA DE ELETRIFICAÇÃO RURAL ANITA GARIBALDI LTDA,Cergal,COOPERATIVA DE ELETRIFICAÇÃO RURAL ANITA GARIBALDI LTDA,Cergal — COOPERATIVA DE ELETRIFICAÇÃO RURAL ANITA GARIBALDI LTDA,20159
2023,1,cergapa,cergapa,Cergapa,COOPERATIVA DE ELETRICIDADE DE GRÃO PARÁ,Cergapa,COOPERATIVA DE ELETRICIDADE DE GRÃO PARÁ,Cergapa — COOPERATIVA DE ELETRICIDADE DE GRÃO PARÁ,3964
2023,1,cergral,cergral,Cergral,COOPERATIVA DE ELETRICIDADE DE GRAVATAL,Cergral,COOPERATIVA DE ELETRICIDADE DE GRAVATAL,Cergral — COOPERATIVA DE ELETRICIDADE DE GRAVATAL,6811
2023,1,ceriluz,ceriluz,Ceriluz,COOPERATIVA REGIONAL DE ENERGIA E DESENVOLVIMENTO IJUÍ LTDA,Ceriluz,COOPERATIVA REGIONAL DE ENERGIA E DESENVOLVIMENTO IJUÍ LTDA,Ceriluz — COOPERATIVA REGIONAL DE ENERGIA E DESENVOLVIMENTO IJUÍ LTDA,14857
2023,1,cerim,cerim,Cerim,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE ITU-MAIRINQUE,Cerim,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE ITU-MAIRINQUE,Cerim — COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE ITU-MAIRINQUE,15262
2023,1,ceripa,ceripa,Ceripa,COOPERATIVA DE ELETRIFICAÇÃO RURAL DE ITAÍ-PARANAPANEMA-AVARÉ,Ceripa,COOPERATIVA DE ELETRIFICAÇÃO RURAL DE ITAÍ-PARANAPANEMA-AVARÉ,Ceripa — COOPERATIVA DE ELETRIFICAÇÃO RURAL DE ITAÍ-PARANAPANEMA-AVARÉ,7247
2023,1,ceris,ceris,Ceris,COOPERATIVA DE ELETRIFICAÇÃO RURAL DA REGIÃO DE ITAPECERICA DA SERRA,Ceris,COOPERATIVA DE ELETRIFICAÇÃO RURAL DA REGIÃO DE ITAPECERICA DA SERRA,Ceris — COOPERATIVA DE ELETRIFICAÇÃO RURAL DA REGIÃO DE ITAPECERICA DA SERRA,6961
2023,1,cermc,cermc,Cermc,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE MOGI DAS CRUZES,Cermc,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE MOGI DAS CRUZES,Cermc — COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE MOGI DAS CRUZES,3259
2023,1,cermissoes,cermissoes,Cermissões,COOPERATIVA DE DISTRIBUIÇÃO E GERAÇÃO DE ENERGIA DAS MISSÕES,Cermissões,COOPERATIVA DE DISTRIBUIÇÃO E GERAÇÃO DE ENERGIA DAS MISSÕES,Cermissões — COOPERATIVA DE DISTRIBUIÇÃO E GERAÇÃO DE ENERGIA DAS MISSÕES,28330
2023,1,cermoful,cermoful,Cermoful,COOPERATIVA FUMACENSE DE ELETRICIDADE,Cermoful,COOPERATIVA FUMACENSE DE ELETRICIDADE,Cermoful — COOPERATIVA FUMACENSE DE ELETRICIDADE,15978
2023,1,cernhe,cernhe,Cernhe,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO RURAL DA REGIÃO DE NOVO HORIZONTE,Cernhe,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO RURAL DA REGIÃO DE NOVO HORIZONTE,Cernhe — COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO RURAL DA REGIÃO DE NOVO HORIZONTE,4638
2023,1,cerpalo,cerpalo,Cerpalo,COOPERATIVA DE ELETRIFICAÇÃO DE PAULO LOPES,Cerpalo,COOPERATIVA DE ELETRIFICAÇÃO DE PAULO LOPES,Cerpalo — COOPERATIVA DE ELETRIFICAÇÃO DE PAULO LOPES,16338
2023,1,cerpro,cerpro,Cerpro,COOPERATIVA DE ELETRIFICAÇÃO RURAL DA REGIÃO DE PROMISSÃO,Cerpro,COOPERATIVA DE ELETRIFICAÇÃO RURAL DA REGIÃO DE PROMISSÃO,Cerpro — COOPERATIVA DE ELETRIFICAÇÃO RURAL DA REGIÃO DE PROMISSÃO,2023
2023,1,cerrp,cerrp,Cerrp,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE SÃO JOSÉ DO RIO PRETO,Cerrp,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE SÃO JOSÉ DO RIO PRETO,Cerrp — COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE SÃO JOSÉ DO RIO PRETO,14119
2023,1,cersad,cersad,Cersad,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA SALTO DONNER,Cersad,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA SALTO DONNER,Cersad — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA SALTO DONNER,1364
2023,1,cersul,cersul,Cersul,COOPERATIVA DE DISTRIBUIÇÃOI DE ENERGIA,Cersul,COOPERATIVA DE DISTRIBUIÇÃOI DE ENERGIA,Cersul — COOPERATIVA DE DISTRIBUIÇÃOI DE ENERGIA,18475
2023,1,certaja,certaja_energia,Certaja Energia,COOPERATIVA REGIONAL DE ENERGIA TAQUARI JACUÍ,Certaja Energia,COOPERATIVA REGIONAL DE ENERGIA TAQUARI JACUÍ,Certaja Energia — COOPERATIVA REGIONAL DE ENERGIA TAQUARI JACUÍ,26154
2023,1,certel,certel_energia,Certel Energia,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA TEUTÔNIA,Certel Energia,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA TEUTÔNIA,Certel Energia — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA TEUTÔNIA,72956
2023,1,certhil,certhil,Certhil,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ENTRE RIOS LTDA,Certhil,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ENTRE RIOS LTDA,Certhil — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ENTRE RIOS LTDA,8582
2023,1,certrel,certrel,Certrel,COOPERATIVA DE ENERGIA TREVISO,Certrel,COOPERATIVA DE ENERGIA TREVISO,Certrel — COOPERATIVA DE ENERGIA TREVISO,4626
2023,1,cervam,cervam,Cervam,COOPERATIVA DE ENERGIZAÇÃO E DE DESENVOLVIMENTO DO VALE DO MOGI,Cervam,COOPERATIVA DE ENERGIZAÇÃO E DE DESENVOLVIMENTO DO VALE DO MOGI,Cervam — COOPERATIVA DE ENERGIZAÇÃO E DE DESENVOLVIMENTO DO VALE DO MOGI,4491
2023,1,cetril,cetril,Cetril,COOPERATIVA DE ELETRIFICAÇÃO DE IBIÚNA E REGIÃO,Cetril,COOPERATIVA DE ELETRIFICAÇÃO DE IBIÚNA E REGIÃO,Cetril — COOPERATIVA DE ELETRIFICAÇÃO DE IBIÚNA E REGIÃO,31779
2023,1,chesp,chesp,Chesp,COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO,Chesp,COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO,Chesp — COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO,39544
2023,1,cocel,cocel,Cocel,COMPANHIA CAMPOLARGUENSE DE ENERGIA,Cocel,COMPANHIA CAMPOLARGUENSE DE ENERGIA,Cocel — COMPANHIA CAMPOLARGUENSE DE ENERGIA,58163
2023,1,coopera,coopera,Coopera,COOPERATIVA PIONEIRA DE ELETRIFICAÇÃO,Coopera,COOPERATIVA PIONEIRA DE ELETRIFICAÇÃO,Coopera — COOPERATIVA PIONEIRA DE ELETRIFICAÇÃO,26909
2023,1,cooperalianca,cooperalianca,Cooperaliança,COOPERATIVA ALIANÇA,Cooperaliança,COOPERATIVA ALIANÇA,Cooperaliança — COOPERATIVA ALIANÇA,43470
2023,1,coopercocal,coopercocal,Coopercocal,COOPERATIVA ENERGÉTICA COCAL,Coopercocal,COOPERATIVA ENERGÉTICA COCAL,Coopercocal — COOPERATIVA ENERGÉTICA COCAL,11685
2023,1,cooperluz,cooperluz,Cooperluz,COOPERATIVA DISTRIBUIDORA DE ENERGIA FRONTEIRA NOROESTE,Cooperluz,COOPERATIVA DISTRIBUIDORA DE ENERGIA FRONTEIRA NOROESTE,Cooperluz — COOPERATIVA DISTRIBUIDORA DE ENERGIA FRONTEIRA NOROESTE,16916
2023,1,coopermila,coopermila,Coopermila,COOPERATIVA DE ELETRIFICAÇÃO LAURO MÜLLER,Coopermila,COOPERATIVA DE ELETRIFICAÇÃO LAURO MÜLLER,Coopermila — COOPERATIVA DE ELETRIFICAÇÃO LAURO MÜLLER,1352
2023,1,coopernorte,coopernorte,Coopernorte,COOPERATIVA REGIONAL DE DISTRIBUIÇÃO DE ENERGIA DO LITORAL NORTE,Coopernorte,COOPERATIVA REGIONAL DE DISTRIBUIÇÃO DE ENERGIA DO LITORAL NORTE,Coopernorte — COOPERATIVA REGIONAL DE DISTRIBUIÇÃO DE ENERGIA DO LITORAL NORTE,6936
2023,1,coopersul,coopersul,Coopersul,COOPERATIVA REGIONAL DE ELETRIFICAÇÃO RURAL FRONTEIRA SUL LTDA,Coopersul,COOPERATIVA REGIONAL DE ELETRIFICAÇÃO RURAL FRONTEIRA SUL LTDA,Coopersul — COOPERATIVA REGIONAL DE ELETRIFICAÇÃO RURAL FRONTEIRA SUL LTDA,5685
2023,1,cooperzem,cooperzem,Cooperzem,COOPERZEM COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA,Cooperzem,COOPERZEM COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA,Cooperzem — COOPERZEM COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA,8652
2023,1,coorsel,coorsel,Coorsel,COOPERATIVA REGIONAL SUL DE ELETRIFICAÇÃO RURAL,Coorsel,COOPERATIVA REGIONAL SUL DE ELETRIFICAÇÃO RURAL,Coorsel — COOPERATIVA REGIONAL SUL DE ELETRIFICAÇÃO RURAL,9254
2023,1,copel_dis,copel_dis,Copel-Dis,COPEL DISTRIBUIÇÃO S.A.,Copel-Dis,COPEL DISTRIBUIÇÃO S.A.,Copel-Dis — COPEL DISTRIBUIÇÃO S.A.,5128034
