group_id,group_label,distributor_id,distributor_label,ano,meses_com_dados,qtd_serv_realizado,qtd_fora_prazo,compensacao_rs,uc_ativa_media_ano,exposicao_uc_mes,taxa_fora_prazo,fora_prazo_por_100k_uc_mes,compensacao_rs_por_uc_mes,compensacao_media_por_transgressao_rs
amazonas,Grupo Amazonas,amazonas_energia,AMAZONAS ENERGIA S.A.,2023,12,689224,3858,1331110.07,1159625.1666666667,13915502,0.0055975996192819755,27.724475911828407,0.09565663315631732,345.0259383100052
amazonas,Grupo Amazonas,amazonas_energia,AMAZONAS ENERGIA S.A.,2024,12,2091505,2447,516712.69999999995,1179382.4166666667,14152589,0.0011699709061178433,17.290122676494033,0.03651011839600514,211.16170821413974
amazonas,Grupo Amazonas,amazonas_energia,AMAZONAS ENERGIA S.A.,2025,12,603690,2414,546871.1599999999,1191364.8333333333,14296378,0.00399874107571767,16.885395727505248,0.03825242729312277,226.5414913007456
ampla,Grupo Ampla,enel_rj,AMPLA ENERGIA E SERVIÇOS S.A.,2023,12,12152537,19080,4838734.66,3073576.25,36882915,0.0015700425351513022,51.73126907133018,0.13119176344928268,253.60244549266247
ampla,Grupo Ampla,enel_rj,AMPLA ENERGIA E SERVIÇOS S.A.,2024,12,11080043,8042,6743429.3,3090711.5833333335,37088539,0.0007258094575986754,21.683248294034986,0.1818197610857629,838.5263989057448
ampla,Grupo Ampla,enel_rj,AMPLA ENERGIA E SERVIÇOS S.A.,2025,12,9839070,9000,9587764.6288,3115002.6666666665,37380032,0.0009147205985931597,24.077025937270466,0.2564942862756244,1065.3071809777778
celesc,Grupo Celesc,celesc_dis,CELESC DISTRIBUIÇÃO S.A.,2023,12,1513417,10603,3723961.58,3369700.6666666665,40436408,0.007006000329056698,26.221419073622958,0.09209427256743477,351.21772894463834
celesc,Grupo Celesc,celesc_dis,CELESC DISTRIBUIÇÃO S.A.,2024,12,12436742,113722,2160911.43,3449264.75,41391177,0.009144034667600245,274.74937472785564,0.05220705441645209,19.001700902200103
celesc,Grupo Celesc,celesc_dis,CELESC DISTRIBUIÇÃO S.A.,2025,12,19030142,390787,19333108.65,3545150.25,42541803,0.020535159432861824,918.5952931990212,0.4544496774149417,49.47224101620576
cemig,Grupo Cemig,cemig_d,CEMIG DISTRIBUIÇÃO S.A.,2023,12,61990419,107304,81427220.05,10337222.5,124046670,0.001730977169229974,86.5029266807404,0.6564240704728309,758.8460826250652
