group_id,group_label,distributor_id,distributor_label,ano,meses_com_dados,qtd_serv_realizado,qtd_fora_prazo,compensacao_rs,uc_ativa_media_ano,exposicao_uc_mes,taxa_fora_prazo,fora_prazo_por_100k_uc_mes,compensacao_rs_por_uc_mes,compensacao_media_por_transgressao_rs
amazonas,Grupo Amazonas,amazonas_energia,Amazonas Energia — AMAZONAS ENERGIA S.A.,2023,12,689224,3858,1331110.07,1150778.1666666667,13809338,0.0055975996192819755,27.937617284767743,0.0963920261782281,345.0259383100052
amazonas,Grupo Amazonas,amazonas_energia,Amazonas Energia — AMAZONAS ENERGIA S.A.,2024,12,2091505,2447,516712.69999999995,1166699.0,1166699,0.0011699709061178433,209.73704443048294,0.442884325777257,211.16170821413974
amazonas,Grupo Amazonas,amazonas_energia,Amazonas Energia — AMAZONAS ENERGIA S.A.,2025,12,603690,2414,546871.16,,0,0.00399874107571767,,,226.54149130074566
amazonas,Grupo Amazonas,amazonas_energia,Amazonas Energia — AMAZONAS ENERGIA S.A.,2026,4,225739,507,113325.88,,0,0.0022459566136112945,,,223.52244575936885
castro_dis,Grupo Castro DIS,castro_dis,Castro-Dis — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE CASTRO,2023,12,8602,11,0.0,2327.5,27930,0.0012787723785166241,39.38417472252059,0.0,0.0
castro_dis,Grupo Castro DIS,castro_dis,Castro-Dis — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE CASTRO,2024,11,8880,6,0.0,,0,0.0006756756756756757,,,0.0
castro_dis,Grupo Castro DIS,castro_dis,Castro-Dis — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE CASTRO,2025,12,8650,3,90.86,,0,0.0003468208092485549,,,30.286666666666665
castro_dis,Grupo Castro DIS,castro_dis,Castro-Dis — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE CASTRO,2026,4,965,1,0.0,,0,0.0010362694300518134,,,0.0
cedrap,Grupo Cedrap,cedrap,Cedrap — COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,2023,12,12353,33,0.0,7634.916666666667,91619,0.0026714158504007124,36.01872973946452,0.0,0.0
cedrap,Grupo Cedrap,cedrap,Cedrap — COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,2024,12,13908,17,3252.29,,0,0.0012223180903077366,,,191.31117647058824
