group_id,group_label,distributor_id,distributor_label,ano,qtd_serv_realizado,qtd_fora_prazo,compensacao_rs,exposicao_uc_mes,taxa_fora_prazo,fora_prazo_por_100k_uc_mes,compensacao_rs_por_uc_mes,escopo_servico
amazonas,Grupo Amazonas,amazonas_energia,Amazonas Energia — AMAZONAS ENERGIA S.A.,2023,416369,3580,1277810.6300000001,13915502,0.008598142513011294,25.72670393062356,0.0918264127302055,sem_cod_69_93
amazonas,Grupo Amazonas,amazonas_energia,Amazonas Energia — AMAZONAS ENERGIA S.A.,2024,623391,2277,490550.44,14152589,0.003652603261837274,16.08892902916915,0.03466153366002503,sem_cod_69_93
amazonas,Grupo Amazonas,amazonas_energia,Amazonas Energia — AMAZONAS ENERGIA S.A.,2025,466715,2102,505310.31,14296378,0.004503819247292245,14.703024780122629,0.03534533781913153,sem_cod_69_93
castro_dis,Grupo Castro DIS,castro_dis,Castro-Dis — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE CASTRO,2023,1063,11,0.0,27930,0.010348071495766699,39.38417472252059,0.0,sem_cod_69_93
castro_dis,Grupo Castro DIS,castro_dis,Castro-Dis — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE CASTRO,2024,599,6,0.0,26107,0.01001669449081803,22.982341900639675,0.0,sem_cod_69_93
castro_dis,Grupo Castro DIS,castro_dis,Castro-Dis — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE CASTRO,2025,954,3,90.86,28963,0.0031446540880503146,10.358043020405345,0.0031371059627800985,sem_cod_69_93
cedrap,Grupo Cedrap,cedrap,Cedrap — COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,2023,3099,33,0.0,91619,0.010648596321393998,36.01872973946452,0.0,sem_cod_69_93
cedrap,Grupo Cedrap,cedrap,Cedrap — COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,2024,3510,17,3252.29,94589,0.004843304843304843,17.9724915159268,0.03438338496019622,sem_cod_69_93
cedrap,Grupo Cedrap,cedrap,Cedrap — COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,2025,3107,19,624.78,96092,0.006115223688445446,19.77271781209674,0.006501894018232527,sem_cod_69_93
cedri,Grupo Cedri,cedri,Cedri — COOPERATIVA DE ELETRIFICAÇÃO E DISTRIBUIÇÃO DA REGIÃO DE ITARIRI,2023,997,4,0.0,36331,0.004012036108324975,11.009881368528253,0.0,sem_cod_69_93
cedri,Grupo Cedri,cedri,Cedri — COOPERATIVA DE ELETRIFICAÇÃO E DISTRIBUIÇÃO DA REGIÃO DE ITARIRI,2024,705,6,0.0,40554,0.00851063829787234,14.795088030773783,0.0,sem_cod_69_93
cedri,Grupo Cedri,cedri,Cedri — COOPERATIVA DE ELETRIFICAÇÃO E DISTRIBUIÇÃO DA REGIÃO DE ITARIRI,2025,1044,31,5938.19,51236,0.029693486590038315,60.504332890936055,0.11589878210633148,sem_cod_69_93
cegero,Grupo Cegero,cegero,Cegero — COOPERATIVA DE ELETRICIDADE DE SÃO LUDGERO,2023,3205,23,0.0,82549,0.007176287051482059,27.862239397206505,0.0,sem_cod_69_93
cegero,Grupo Cegero,cegero,Cegero — COOPERATIVA DE ELETRICIDADE DE SÃO LUDGERO,2024,2555,6,697.41,85454,0.0023483365949119373,7.021321412689868,0.008161232944040068,sem_cod_69_93
cegero,Grupo Cegero,cegero,Cegero — COOPERATIVA DE ELETRICIDADE DE SÃO LUDGERO,2025,3664,10,126.12,88346,0.0027292576419213972,11.319131596223936,0.001427568876915763,sem_cod_69_93
cejama,Grupo Cejama,cejama,Cejama — COOPERATIVA DE ELETRICIDADE JACINTO MACHADO,2023,1635,11,0.0,67130,0.00672782874617737,16.386116490391775,0.0,sem_cod_69_93
cejama,Grupo Cejama,cejama,Cejama — COOPERATIVA DE ELETRICIDADE JACINTO MACHADO,2024,1506,4,624.98,69319,0.0026560424966799467,5.770423693359685,0.00901599849968984,sem_cod_69_93
cejama,Grupo Cejama,cejama,Cejama — COOPERATIVA DE ELETRICIDADE JACINTO MACHADO,2025,2246,7,201.52,72398,0.003116651825467498,9.668775380535374,0.0027835023066935553,sem_cod_69_93
celesc_dis,Grupo Celesc DIS,celesc_dis,Celesc-Dis — CELESC DISTRIBUIÇÃO S.A.,2023,1292480,10467,3714749.3,40436408,0.008098384501114136,25.885088507366927,0.09186645114472086,sem_cod_69_93
celesc_dis,Grupo Celesc DIS,celesc_dis,Celesc-Dis — CELESC DISTRIBUIÇÃO S.A.,2024,1814373,113612,2159009.16,41391177,0.06261777484563538,274.48361760768483,0.05216109607127142,sem_cod_69_93
celesc_dis,Grupo Celesc DIS,celesc_dis,Celesc-Dis — CELESC DISTRIBUIÇÃO S.A.,2025,2165838,390378,19333108.65,42541803,0.18024339770564557,917.633885898066,0.4544496774149417,sem_cod_69_93
celetro,Grupo Celetro,celetro,Celetro — COOPERATIVA DE ELETRIFICAÇÃO CENTRO JACUÍ LTDA.,2023,13241,56,744.12,287447,0.004229287818140624,19.4818523066861,0.002588720703294868,sem_cod_69_93
celetro,Grupo Celetro,celetro,Celetro — COOPERATIVA DE ELETRIFICAÇÃO CENTRO JACUÍ LTDA.,2024,7846,71,1752.33,289250,0.009049197043079276,24.546240276577354,0.0060581849611063094,sem_cod_69_93
celetro,Grupo Celetro,celetro,Celetro — COOPERATIVA DE ELETRIFICAÇÃO CENTRO JACUÍ LTDA.,2025,9836,9,1654.81,292157,0.0009150061000406669,3.080535465520251,0.0056641121041084075,sem_cod_69_93
cemig_d,Grupo Cemig D,cemig_d,Cemig-D — CEMIG DISTRIBUIÇÃO S.A.,2023,2967533,104868,80661682.4,124046670,0.03533844442504936,84.53914966036574,0.6502527024707717,sem_cod_69_93
cemig_d,Grupo Cemig D,cemig_d,Cemig-D — CEMIG DISTRIBUIÇÃO S.A.,2024,3374524,56430,34217252.019999996,125723050,0.016722358471891147,44.88437084528255,0.27216371238209697,sem_cod_69_93
