group_id,group_label,distributor_id,distributor_label,ano,qtd_serv_realizado,qtd_fora_prazo,compensacao_rs,exposicao_uc_mes,taxa_fora_prazo,fora_prazo_por_100k_uc_mes,compensacao_rs_por_uc_mes,escopo_servico
amazonas,Grupo Amazonas,amazonas_energia,Amazonas Energia — AMAZONAS ENERGIA S.A.,2023,416369,3580,1277810.63,13809338,0.008598142513011294,25.924486749473434,0.0925323596250595,sem_cod_69_93
amazonas,Grupo Amazonas,amazonas_energia,Amazonas Energia — AMAZONAS ENERGIA S.A.,2024,623391,2277,490550.44,1166699,0.003652603261837274,195.1660196845973,0.42046015296147504,sem_cod_69_93
amazonas,Grupo Amazonas,amazonas_energia,Amazonas Energia — AMAZONAS ENERGIA S.A.,2025,466715,2102,505310.31,0,0.004503819247292245,,,sem_cod_69_93
amazonas,Grupo Amazonas,amazonas_energia,Amazonas Energia — AMAZONAS ENERGIA S.A.,2026,191049,472,105846.36,0,0.002470570377233066,,,sem_cod_69_93
castro_dis,Grupo Castro DIS,castro_dis,Castro-Dis — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE CASTRO,2023,1063,11,0.0,27930,0.010348071495766699,39.38417472252059,0.0,sem_cod_69_93
castro_dis,Grupo Castro DIS,castro_dis,Castro-Dis — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE CASTRO,2024,599,6,0.0,0,0.01001669449081803,,,sem_cod_69_93
castro_dis,Grupo Castro DIS,castro_dis,Castro-Dis — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE CASTRO,2025,954,3,90.86,0,0.0031446540880503146,,,sem_cod_69_93
castro_dis,Grupo Castro DIS,castro_dis,Castro-Dis — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE CASTRO,2026,345,1,0.0,0,0.002898550724637681,,,sem_cod_69_93
cedrap,Grupo Cedrap,cedrap,Cedrap — COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,2023,3099,33,0.0,91619,0.010648596321393998,36.01872973946452,0.0,sem_cod_69_93
cedrap,Grupo Cedrap,cedrap,Cedrap — COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,2024,3510,17,3252.29,0,0.004843304843304843,,,sem_cod_69_93
