group_id,group_label,distributor_id,distributor_label,classe_local_servico,qtd_serv_realizado,qtd_fora_prazo,compensacao_rs,exposicao_uc_mes,taxa_fora_prazo,fora_prazo_por_100k_uc_mes,compensacao_rs_por_uc_mes,share_fora_prazo,share_compensacao
amazonas,Grupo Amazonas,amazonas_energia,Amazonas Energia — AMAZONAS ENERGIA S.A.,urbana,857760,4530,988014.7999999999,14976037,0.005281197537772803,30.24832270379674,0.06597304747577747,0.49100368523737264,0.3939421834152099
amazonas,Grupo Amazonas,amazonas_energia,Amazonas Energia — AMAZONAS ENERGIA S.A.,nao_classificado,2691516,3509,1346546.33,14976037,0.0013037262271522814,23.430764761064626,0.08991339497892534,0.3803381747236072,0.5368962097631916
amazonas,Grupo Amazonas,amazonas_energia,Amazonas Energia — AMAZONAS ENERGIA S.A.,rural,60744,1187,173458.68,14976037,0.019541024627946792,7.925995375144973,0.011582415294513494,0.12865814003902015,0.06916160682159843
amazonas,Grupo Amazonas,amazonas_energia,Amazonas Energia — AMAZONAS ENERGIA S.A.,grupo_a,138,0,0.0,14976037,0.0,0.0,0.0,0.0,0.0
castro_dis,Grupo Castro DIS,castro_dis,Castro-Dis — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE CASTRO,nao_classificado,25372,19,0.0,27930,0.0007488570077250512,68.02721088435374,0.0,0.9047619047619048,0.0
castro_dis,Grupo Castro DIS,castro_dis,Castro-Dis — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE CASTRO,urbana,1279,2,90.86,27930,0.001563721657544957,7.160759040458288,0.0032531328320802005,0.09523809523809523,1.0
castro_dis,Grupo Castro DIS,castro_dis,Castro-Dis — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE CASTRO,grupo_a,0,0,0.0,27930,,0.0,0.0,0.0,0.0
castro_dis,Grupo Castro DIS,castro_dis,Castro-Dis — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE CASTRO,rural,446,0,0.0,27930,0.0,0.0,0.0,0.0,0.0
cedrap,Grupo Cedrap,cedrap,Cedrap — COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,nao_classificado,42094,53,1206.15,91619,0.0012590868057205302,57.84826291489756,0.013164845719774283,0.7361111111111112,0.3110983294085482
cedrap,Grupo Cedrap,cedrap,Cedrap — COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,rural,4497,18,2670.92,91619,0.004002668445630421,19.64657985788974,0.02915246837446381,0.25,0.6889016705914518
cedrap,Grupo Cedrap,cedrap,Cedrap — COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,urbana,544,1,0.0,91619,0.001838235294117647,1.0914766587716522,0.0,0.013888888888888888,0.0
cedrap,Grupo Cedrap,cedrap,Cedrap — COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,grupo_a,0,0,0.0,91619,,0.0,0.0,0.0,0.0
cedri,Grupo Cedri,cedri,Cedri — COOPERATIVA DE ELETRIFICAÇÃO E DISTRIBUIÇÃO DA REGIÃO DE ITARIRI,nao_classificado,36621,39,5444.67,36331,0.0010649627263045794,107.34634334315048,0.14986292697696182,0.8297872340425532,0.9168905003039646
cedri,Grupo Cedri,cedri,Cedri — COOPERATIVA DE ELETRIFICAÇÃO E DISTRIBUIÇÃO DA REGIÃO DE ITARIRI,urbana,317,5,214.39,36331,0.015772870662460567,13.762351710660317,0.005901021166496931,0.10638297872340426,0.036103593856040304
cedri,Grupo Cedri,cedri,Cedri — COOPERATIVA DE ELETRIFICAÇÃO E DISTRIBUIÇÃO DA REGIÃO DE ITARIRI,rural,487,3,279.13,36331,0.006160164271047228,8.25741102639619,0.007682970465993229,0.06382978723404255,0.04700590583999501
cedri,Grupo Cedri,cedri,Cedri — COOPERATIVA DE ELETRIFICAÇÃO E DISTRIBUIÇÃO DA REGIÃO DE ITARIRI,grupo_a,0,0,0.0,36331,,0.0,0.0,0.0,0.0
cegero,Grupo Cegero,cegero,Cegero — COOPERATIVA DE ELETRICIDADE DE SÃO LUDGERO,nao_classificado,56274,36,0.0,89528,0.0006397270497920887,40.210883745867214,0.0,0.9230769230769231,0.0
cegero,Grupo Cegero,cegero,Cegero — COOPERATIVA DE ELETRICIDADE DE SÃO LUDGERO,urbana,3546,3,823.53,89528,0.0008460236886632825,3.350906978822268,0.009198574747565007,0.07692307692307693,1.0
cegero,Grupo Cegero,cegero,Cegero — COOPERATIVA DE ELETRICIDADE DE SÃO LUDGERO,grupo_a,0,0,0.0,89528,,0.0,0.0,0.0,0.0
cegero,Grupo Cegero,cegero,Cegero — COOPERATIVA DE ELETRICIDADE DE SÃO LUDGERO,rural,675,0,0.0,89528,0.0,0.0,0.0,0.0,0.0
cejama,Grupo Cejama,cejama,Cejama — COOPERATIVA DE ELETRICIDADE JACINTO MACHADO,nao_classificado,19632,15,404.01,61532,0.0007640586797066015,24.377559643762595,0.006565851914451017,0.6,0.4484664824003463
cejama,Grupo Cejama,cejama,Cejama — COOPERATIVA DE ELETRICIDADE JACINTO MACHADO,rural,1101,5,201.52,61532,0.004541326067211626,8.125853214587531,0.003275043879607359,0.2,0.2236948727341348
cejama,Grupo Cejama,cejama,Cejama — COOPERATIVA DE ELETRICIDADE JACINTO MACHADO,urbana,1804,5,295.34000000000003,61532,0.002771618625277162,8.125853214587531,0.004799778976792564,0.2,0.32783864486551895
cejama,Grupo Cejama,cejama,Cejama — COOPERATIVA DE ELETRICIDADE JACINTO MACHADO,grupo_a,0,0,0.0,61532,,0.0,0.0,0.0,0.0
celesc,Grupo Celesc,celesc_dis,Celesc-Dis — CELESC DISTRIBUIÇÃO S.A.,nao_classificado,38222328,548463,25198031.94,0,0.014349282963612264,,,0.9716389829787837,0.9105750700005324
celesc,Grupo Celesc,celesc_dis,Celesc-Dis — CELESC DISTRIBUIÇÃO S.A.,urbana,1006898,14351,2179384.97,0,0.014252684979014756,,,0.025423758840119617,0.07875589753760183
celesc,Grupo Celesc,celesc_dis,Celesc-Dis — CELESC DISTRIBUIÇÃO S.A.,rural,79572,1608,295240.48,0,0.020208113406725983,,,0.002848679828228858,0.01066903246186578
celesc,Grupo Celesc,celesc_dis,Celesc-Dis — CELESC DISTRIBUIÇÃO S.A.,grupo_a,81,50,0.0,0,0.6172839506172839,,,8.857835286781275e-05,0.0
celetro,Grupo Celetro,celetro,Celetro — COOPERATIVA DE ELETRIFICAÇÃO CENTRO JACUÍ LTDA.,nao_classificado,129250,98,9286.82,311496,0.000758220502901354,31.46107815188638,0.02981360916352056,0.7153284671532847,0.7232438586940861
celetro,Grupo Celetro,celetro,Celetro — COOPERATIVA DE ELETRIFICAÇÃO CENTRO JACUÍ LTDA.,rural,8729,32,3041.15,311496,0.003665941115820827,10.273005110820042,0.009763046716490741,0.23357664233576642,0.23684028126608678
celetro,Grupo Celetro,celetro,Celetro — COOPERATIVA DE ELETRIFICAÇÃO CENTRO JACUÍ LTDA.,urbana,2611,7,512.54,311496,0.002680965147453083,2.247219867991884,0.0016454143873436576,0.051094890510948905,0.03991586003982708
celetro,Grupo Celetro,celetro,Celetro — COOPERATIVA DE ELETRIFICAÇÃO CENTRO JACUÍ LTDA.,grupo_a,0,0,0.0,311496,,0.0,0.0,0.0,0.0
cemig,Grupo Cemig,cemig_d,Cemig-D — CEMIG DISTRIBUIÇÃO S.A.,nao_classificado,187028942,150623,94998406.51,134571534,0.0008053459448003508,111.92783163191109,0.7059324040253565,0.6437017884997542,0.5582081300281058
cemig,Grupo Cemig,cemig_d,Cemig-D — CEMIG DISTRIBUIÇÃO S.A.,urbana,5773898,60211,35129272.95,134571534,0.010428137109453613,44.74274626311386,0.26104534819377184,0.2573174640483771,0.20641868093442423
cemig,Grupo Cemig,cemig_d,Cemig-D — CEMIG DISTRIBUIÇÃO S.A.,rural,337673,23160,39578657.54,134571534,0.06858706500075516,17.210177599669777,0.29410868973225796,0.09897647385627897,0.23256314738395698
