group_id,group_label,distributor_id,distributor_label,ano,meses_com_dados,meses_faltantes
amazonas,Grupo Amazonas,amazonas_energia,Amazonas Energia — AMAZONAS ENERGIA S.A.,2023,12,
amazonas,Grupo Amazonas,amazonas_energia,Amazonas Energia — AMAZONAS ENERGIA S.A.,2024,12,
amazonas,Grupo Amazonas,amazonas_energia,Amazonas Energia — AMAZONAS ENERGIA S.A.,2025,12,
castro_dis,Grupo Castro DIS,castro_dis,Castro-Dis — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE CASTRO,2023,12,
castro_dis,Grupo Castro DIS,castro_dis,Castro-Dis — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE CASTRO,2024,11,5
castro_dis,Grupo Castro DIS,castro_dis,Castro-Dis — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE CASTRO,2025,12,
cedrap,Grupo Cedrap,cedrap,Cedrap — COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,2023,12,
cedrap,Grupo Cedrap,cedrap,Cedrap — COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,2024,12,
cedrap,Grupo Cedrap,cedrap,Cedrap — COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,2025,12,
cedri,Grupo Cedri,cedri,Cedri — COOPERATIVA DE ELETRIFICAÇÃO E DISTRIBUIÇÃO DA REGIÃO DE ITARIRI,2023,12,
cedri,Grupo Cedri,cedri,Cedri — COOPERATIVA DE ELETRIFICAÇÃO E DISTRIBUIÇÃO DA REGIÃO DE ITARIRI,2024,12,
cedri,Grupo Cedri,cedri,Cedri — COOPERATIVA DE ELETRIFICAÇÃO E DISTRIBUIÇÃO DA REGIÃO DE ITARIRI,2025,12,
cegero,Grupo Cegero,cegero,Cegero — COOPERATIVA DE ELETRICIDADE DE SÃO LUDGERO,2023,12,
cegero,Grupo Cegero,cegero,Cegero — COOPERATIVA DE ELETRICIDADE DE SÃO LUDGERO,2024,12,
cegero,Grupo Cegero,cegero,Cegero — COOPERATIVA DE ELETRICIDADE DE SÃO LUDGERO,2025,12,
cejama,Grupo Cejama,cejama,Cejama — COOPERATIVA DE ELETRICIDADE JACINTO MACHADO,2023,12,
cejama,Grupo Cejama,cejama,Cejama — COOPERATIVA DE ELETRICIDADE JACINTO MACHADO,2024,12,
