group_id,group_label,distributor_id,distributor_label,ano_inicio,ano_fim,taxa_inicio,taxa_fim,delta_taxa_abs,delta_taxa_pct,compensacao_inicio,compensacao_fim,delta_comp_abs,delta_comp_pct
ame,Grupo AME,ame,AME,2011,2023,0.1387862627301057,0.010618460582202425,-0.12816780214790327,-0.9234905503374502,115204.76,333915.67,218710.90999999997,1.89845376180637
boa,Grupo BOA,boa_vista,BOA VISTA,2011,2023,0.007511893831900509,0.00883434601854813,0.001322452186647621,0.17604777386916837,788.3,21125.100000000002,20336.800000000003,25.79830013954079
castro_dis,Grupo Castro DIS,castro_dis,CASTRO-DIS,2019,2023,0.019417475728155338,0.011235955056179775,-0.008181520671975563,-0.4213483146067415,0.0,107.61,107.61,
cea,Grupo CEA,cea,CEA,2011,2023,0.11730953139942621,0.023255813953488372,-0.09405371744593784,-0.8017568250758342,4440.28,336094.32,331654.04,74.69214554037133
ceb,Grupo CEB,ceb,CEB,2015,2015,0.030290060891387662,0.030290060891387662,0.0,0.0,48914.05,48914.05,0.0,0.0
cedrap,Grupo Cedrap,cedrap,CEDRAP,2011,2023,0.19739696312364424,0.028132992327365727,-0.16926397079627853,-0.8574801157921362,1050.73,347.15,-703.58,-0.6696106516421916
cedri,Grupo Cedri,cedri,CEDRI,2011,2023,0.11764705882352941,0.015810276679841896,-0.10183678214368752,-0.8656126482213439,0.0,60.03,60.03,
ceee_d,Grupo CEEE D,ceee_d,CEEE-D,2011,2023,0.006832448436365707,0.021321344498900167,0.01448889606253446,2.1206008647525696,4390.65,241435.88,237045.23,53.98864177285824
cegero,Grupo Cegero,cegero,CEGERO,2019,2023,0.023166023166023165,0.009453781512605041,-0.013712241653418123,-0.5919117647058824,864.0799999999999,326.64,-537.4399999999999,-0.6219794463475604
cejama,Grupo Cejama,cejama,CEJAMA,2011,2022,0.25157232704402516,0.013201320132013201,-0.23837100691201196,-0.9475247524752475,513.6899999999999,64.48,-449.2099999999999,-0.8744768245439857
celesc,Grupo Celesc,celesc,CELESC,2011,2023,0.03909589925734582,0.01899379884848431,-0.020102100408861512,-0.5141741407849694,5472.12,370307.6,364835.48,66.6716884863636
celetro,Grupo Celetro,celetro,CELETRO,2022,2023,0.04525658019314524,0.01917057902973396,-0.026086001163411282,-0.5764023939078451,5635.99,352.67,-5283.32,-0.937425368036494
cemig_d,Grupo Cemig D,cemig_d,CEMIG-D,2011,2023,0.04141274854321427,0.059818373672923135,0.018405625129708864,0.4444434570794682,3342.83,24135096.34,24131753.51,7218.9592381305665
cemirim,Grupo Cemirim,cemirim,CEMIRIM,2020,2023,0.0015069318866787222,0.0018214936247723133,0.0003145617380935911,0.20874316939890702,249.92,44.03,-205.89,-0.8238236235595391
ceprag,Grupo Ceprag,ceprag,CEPRAG,2011,2023,0.033204633204633204,0.007433016421780467,-0.025771616782852738,-0.7761452031114953,0.0,691.25,691.25,
ceraca,Grupo Ceraca,ceraca,Ceraçá,2012,2023,0.0,0.04987735077677841,0.04987735077677841,,226.59,1499.02,1272.43,5.615561145681627
ceral,Grupo Ceral,ceral,CERAL,2014,2014,0.10666666666666667,0.10666666666666667,0.0,0.0,44.089999999999996,44.089999999999996,0.0,0.0
ceral,Grupo Ceral,ceral_anitapolis,CERAL ANITÁPOLIS,2018,2023,0.1111111111111111,0.025974025974025976,-0.08513708513708512,-0.7662337662337662,3.02,0.0,-3.02,-1.0
ceral,Grupo Ceral,ceral_araruama,CERAL ARARUAMA,2019,2023,0.03153153153153153,0.07131011608623548,0.039778584554703955,1.2615493958777542,409.69,211.39,-198.3,-0.48402450633405747
ceral_dis,Grupo Ceral DIS,ceral_dis,CERAL-DIS,2012,2023,0.13333333333333333,0.06306306306306306,-0.07027027027027027,-0.5270270270270271,0.0,36.26,36.26,
cerbranorte,Grupo Cerbranorte,cerbranorte,CERBRANORTE,2011,2023,0.0021042471042471045,0.003061849357011635,0.0009576022527645303,0.45508070360736386,0.0,683.74,683.74,
cerci,Grupo Cerci,cerci,CERCI,2019,2023,0.01658833287254631,0.0025463805020007274,-0.014041952370545584,-0.8464956954043895,4229.78,3918.08,-311.6999999999998,-0.0736917759316087
cercos,Grupo Cercos,cercos,CERCOS,2011,2023,0.0,0.015151515151515152,0.015151515151515152,,0.0,0.0,0.0,
cerej,Grupo Cerej,cerej,CEREJ,2011,2023,0.08450704225352113,0.07724719101123595,-0.007259851242285176,-0.08590823970037453,427.78,19511.59,19083.81,44.61127214923559
ceres,Grupo Ceres,ceres,CERES,2011,2023,0.022988505747126436,0.00968013468013468,-0.013308371066991757,-0.5789141414141414,40.57,568.9200000000001,528.35,13.02316982992359
cerfox,Grupo Cerfox,cerfox,CERFOX,2018,2023,0.03125,0.06858846918489066,0.03733846918489066,1.194831013916501,6.319999999999999,821.14,814.8199999999999,128.92721518987344
cergal,Grupo Cergal,cergal,CERGAL,2011,2023,0.0,0.019867549668874173,0.019867549668874173,,0.0,983.75,983.75,
cergapa,Grupo Cergapa,cergapa,CERGAPA,2011,2023,0.024390243902439025,0.03294117647058824,0.008550932568149212,0.35058823529411764,0.0,161.79999999999998,161.79999999999998,
cergral,Grupo Cergral,cergral,CERGRAL,2011,2023,0.02734375,0.05898876404494382,0.03164501404494382,1.1573033707865168,21.94,0.0,-21.94,-1.0
ceriluz,Grupo Ceriluz,ceriluz,CERILUZ,2012,2023,0.024323264025107885,0.0019398642095053346,-0.02238339981560255,-0.9202465504834016,0.0,266.07,266.07,
cerim,Grupo Cerim,cerim,CERIM,2011,2023,0.004597701149425287,0.005550929780738274,0.0009532286313129867,0.20732722731057462,4.640000000000001,125.23,120.59,25.989224137931032
