group_id,group_label,distributor_id,distributor_label,ano,total_serv,serv_focus,share_serv_focus
amazonas,Grupo Amazonas,amazonas_energia,AMAZONAS ENERGIA S.A.,2023,689224,272855.0,0.3958872587141481
amazonas,Grupo Amazonas,amazonas_energia,AMAZONAS ENERGIA S.A.,2024,2091505,1468114.0,0.7019414249547574
amazonas,Grupo Amazonas,amazonas_energia,AMAZONAS ENERGIA S.A.,2025,603690,136975.0,0.22689625470026006
ampla,Grupo Ampla,enel_rj,AMPLA ENERGIA E SERVIÇOS S.A.,2023,12152537,10800966.0,0.8887828113586488
ampla,Grupo Ampla,enel_rj,AMPLA ENERGIA E SERVIÇOS S.A.,2024,11080043,9809643.0,0.8853434052557377
ampla,Grupo Ampla,enel_rj,AMPLA ENERGIA E SERVIÇOS S.A.,2025,9839070,8690333.0,0.8832474004148766
celesc,Grupo Celesc,celesc_dis,CELESC DISTRIBUIÇÃO S.A.,2023,1513417,220937.0,0.14598554132800146
celesc,Grupo Celesc,celesc_dis,CELESC DISTRIBUIÇÃO S.A.,2024,12436742,10622369.0,0.8541118727074984
celesc,Grupo Celesc,celesc_dis,CELESC DISTRIBUIÇÃO S.A.,2025,19030142,16864304.0,0.886189078357902
cemig,Grupo Cemig,cemig_d,CEMIG DISTRIBUIÇÃO S.A.,2023,61990419,59022886.0,0.952129166928199
cemig,Grupo Cemig,cemig_d,CEMIG DISTRIBUIÇÃO S.A.,2024,49352569,45978045.0,0.9316241470631448
cemig,Grupo Cemig,cemig_d,CEMIG DISTRIBUIÇÃO S.A.,2025,56055721,51899504.0,0.925855614273519
centrais,Grupo Centrais,eletrocar,CENTRAIS ELÉTRICAS DE CARAZINHO S.A.,2023,107201,82184.0,0.7666346396022425
centrais,Grupo Centrais,eletrocar,CENTRAIS ELÉTRICAS DE CARAZINHO S.A.,2024,135067,119353.0,0.8836577402326253
centrais,Grupo Centrais,eletrocar,CENTRAIS ELÉTRICAS DE CARAZINHO S.A.,2025,123966,103704.0,0.8365519577948792
companhia,Grupo Companhia,cocel,COMPANHIA CAMPOLARGUENSE DE ENERGIA,2023,205786,160692.0,0.7808694469011498
companhia,Grupo Companhia,cocel,COMPANHIA CAMPOLARGUENSE DE ENERGIA,2024,203167,130262.0,0.6411572745573838
companhia,Grupo Companhia,cocel,COMPANHIA CAMPOLARGUENSE DE ENERGIA,2025,185003,134950.0,0.7294476305789636
companhia,Grupo Companhia,cea_equatorial,COMPANHIA DE ELETRICIDADE DO AMAPA,2023,186003,1458.0,0.00783858324865728
companhia,Grupo Companhia,cea_equatorial,COMPANHIA DE ELETRICIDADE DO AMAPA,2024,199462,2759.0,0.013832208641244948
companhia,Grupo Companhia,cea_equatorial,COMPANHIA DE ELETRICIDADE DO AMAPA,2025,156973,1984.0,0.012639116281143892
companhia,Grupo Companhia,neoenergia_coelba,COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA,2023,68708813,66784875.0,0.9719986721354071
companhia,Grupo Companhia,neoenergia_coelba,COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA,2024,72185466,70231311.0,0.9729286917673982
companhia,Grupo Companhia,neoenergia_coelba,COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA,2025,40075691,37992285.0,0.9480132232779218
companhia,Grupo Companhia,neoenergia_pernambuco,COMPANHIA ENERGÉTICA DE PERNAMBUCO,2023,36100762,34935452.0,0.9677206259524384
companhia,Grupo Companhia,neoenergia_pernambuco,COMPANHIA ENERGÉTICA DE PERNAMBUCO,2024,32550577,31218656.0,0.959081493394111
companhia,Grupo Companhia,neoenergia_pernambuco,COMPANHIA ENERGÉTICA DE PERNAMBUCO,2025,1481135,16304.0,0.011007774443247914
companhia,Grupo Companhia,enel_ce,COMPANHIA ENERGÉTICA DO CEARÁ,2023,10591146,9298623.0,0.8779619315983369
companhia,Grupo Companhia,enel_ce,COMPANHIA ENERGÉTICA DO CEARÁ,2024,13375667,11687634.0,0.8737982188103217
companhia,Grupo Companhia,enel_ce,COMPANHIA ENERGÉTICA DO CEARÁ,2025,13108905,11235831.0,0.8571143814071427
companhia,Grupo Companhia,neoenergia_cosern,COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE,2023,16441663,16056039.0,0.9765459248252443
companhia,Grupo Companhia,neoenergia_cosern,COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE,2024,17666873,17219505.0,0.9746775787656367
companhia,Grupo Companhia,neoenergia_cosern,COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE,2025,5513087,4871923.0,0.8837014543757427
companhia,Grupo Companhia,ceee_equatorial,COMPANHIA ESTADUAL DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA,2023,7954605,6381430.0,0.8022309090143382
companhia,Grupo Companhia,ceee_equatorial,COMPANHIA ESTADUAL DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA,2024,8515031,7169102.0,0.8419349266021463
companhia,Grupo Companhia,ceee_equatorial,COMPANHIA ESTADUAL DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA,2025,8706009,7270768.0,0.8351436347010438
companhia,Grupo Companhia,chesp,COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO,2023,27282,21166.0,0.7758228868851257
companhia,Grupo Companhia,chesp,COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO,2024,28763,20868.0,0.7255154191148351
companhia,Grupo Companhia,chesp,COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO,2025,64181,47116.0,0.7341113413627086
companhia,Grupo Companhia,cpfl_santa_cruz,COMPANHIA JAGUARI DE ENERGIA - CPFL SANTA CRUZ,2023,2924577,2636172.0,0.9013857388606967
companhia,Grupo Companhia,cpfl_santa_cruz,COMPANHIA JAGUARI DE ENERGIA - CPFL SANTA CRUZ,2024,2171376,1872187.0,0.8622122561914657
companhia,Grupo Companhia,cpfl_santa_cruz,COMPANHIA JAGUARI DE ENERGIA - CPFL SANTA CRUZ,2025,2387897,1762151.0,0.7379510087746666
companhia,Grupo Companhia,cpfl_paulista,COMPANHIA PAULISTA DE FORÇA E LUZ,2023,35910212,32582003.0,0.9073185922711902
companhia,Grupo Companhia,cpfl_paulista,COMPANHIA PAULISTA DE FORÇA E LUZ,2024,25861638,22224634.0,0.8593668351556077
companhia,Grupo Companhia,cpfl_paulista,COMPANHIA PAULISTA DE FORÇA E LUZ,2025,27733950,20152394.0,0.7266326650188668
companhia,Grupo Companhia,cpfl_piratininga,COMPANHIA PIRATININGA DE FORÇA E LUZ,2023,9595492,8296032.0,0.8645759904755275
companhia,Grupo Companhia,cpfl_piratininga,COMPANHIA PIRATININGA DE FORÇA E LUZ,2024,8238989,6854450.0,0.8319528039180535
companhia,Grupo Companhia,cpfl_piratininga,COMPANHIA PIRATININGA DE FORÇA E LUZ,2025,9834665,7816760.0,0.7948171086661315
companhia,Grupo Companhia,sulgipe,COMPANHIA SUL SERGIPANA DE ELETRICIDADE,2023,169074,115015.0,0.6802642629854383
companhia,Grupo Companhia,sulgipe,COMPANHIA SUL SERGIPANA DE ELETRICIDADE,2024,117816,70266.0,0.5964045630474638
companhia,Grupo Companhia,sulgipe,COMPANHIA SUL SERGIPANA DE ELETRICIDADE,2025,111366,65868.0,0.5914552017671462
cooperativa,Grupo Cooperativa,cooperalianca,COOPERATIVA ALIANÇA,2023,137073,119271.0,0.870127596244337
cooperativa,Grupo Cooperativa,cooperalianca,COOPERATIVA ALIANÇA,2024,137703,119235.0,0.8658852748306137
cooperativa,Grupo Cooperativa,cooperalianca,COOPERATIVA ALIANÇA,2025,160164,131016.0,0.8180115381733722
cooperativa,Grupo Cooperativa,creluz_d,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA,2023,38795,32514.0,0.8380976930016755
cooperativa,Grupo Cooperativa,creluz_d,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA,2024,37124,31441.0,0.8469184355134145
cooperativa,Grupo Cooperativa,creluz_d,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA,2025,44004,36106.0,0.8205163166984819
cooperativa,Grupo Cooperativa,ceral_anitapolis,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE ANITÁPOLIS,2023,999,262.0,0.26226226226226224
cooperativa,Grupo Cooperativa,ceral_anitapolis,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE ANITÁPOLIS,2024,864,344.0,0.39814814814814814
cooperativa,Grupo Cooperativa,ceral_anitapolis,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE ANITÁPOLIS,2025,1458,564.0,0.3868312757201646
cooperativa,Grupo Cooperativa,castro_dis,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE CASTRO,2023,8602,7539.0,0.8764240874215299
cooperativa,Grupo Cooperativa,castro_dis,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE CASTRO,2024,8880,8281.0,0.9325450450450451
cooperativa,Grupo Cooperativa,castro_dis,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE CASTRO,2025,8650,7696.0,0.8897109826589595
cooperativa,Grupo Cooperativa,codesam,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE SANTA MARIA,2023,540,529.0,0.9796296296296296
cooperativa,Grupo Cooperativa,cersad,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA SALTO DONNER,2023,1520,1126.0,0.7407894736842106
cooperativa,Grupo Cooperativa,cersad,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA SALTO DONNER,2024,1754,1494.0,0.8517673888255416
cooperativa,Grupo Cooperativa,cersad,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA SALTO DONNER,2025,1686,1423.0,0.8440094899169632
cooperativa,Grupo Cooperativa,certhil,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ENTRE RIOS LTDA,2023,16732,13296.0,0.7946449916327994
cooperativa,Grupo Cooperativa,certhil,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ENTRE RIOS LTDA,2024,35003,32744.0,0.935462674627889
cooperativa,Grupo Cooperativa,certhil,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ENTRE RIOS LTDA,2025,19909,17359.0,0.8719172233663167
cooperativa,Grupo Cooperativa,cerfox,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA FONTOURA XAVIER,2023,30678,18417.0,0.6003324858204576
cooperativa,Grupo Cooperativa,cerfox,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA FONTOURA XAVIER,2024,30545,20597.0,0.6743165820919954
cooperativa,Grupo Cooperativa,cerfox,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA FONTOURA XAVIER,2025,32937,21875.0,0.664146704314297
cooperativa,Grupo Cooperativa,certel_energia,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA TEUTÔNIA,2023,128056,79615.0,0.6217201849190979
cooperativa,Grupo Cooperativa,certel_energia,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA TEUTÔNIA,2024,136471,106069.0,0.777227396296649
cooperativa,Grupo Cooperativa,certel_energia,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA TEUTÔNIA,2025,164195,122822.0,0.7480252139224702
cooperativa,Grupo Cooperativa,cermissoes,COOPERATIVA DE DISTRIBUIÇÃO E GERAÇÃO DE ENERGIA DAS MISSÕES,2023,88332,58343.0,0.6604967622152788
cooperativa,Grupo Cooperativa,cermissoes,COOPERATIVA DE DISTRIBUIÇÃO E GERAÇÃO DE ENERGIA DAS MISSÕES,2024,77172,52508.0,0.6804022184211891
cooperativa,Grupo Cooperativa,cermissoes,COOPERATIVA DE DISTRIBUIÇÃO E GERAÇÃO DE ENERGIA DAS MISSÕES,2025,83616,59040.0,0.7060849598163031
cooperativa,Grupo Cooperativa,cersul,COOPERATIVA DE DISTRIBUIÇÃOI DE ENERGIA,2023,72387,65561.0,0.9057012999571746
cooperativa,Grupo Cooperativa,cersul,COOPERATIVA DE DISTRIBUIÇÃOI DE ENERGIA,2024,71628,63621.0,0.8882141062154465
cooperativa,Grupo Cooperativa,cersul,COOPERATIVA DE DISTRIBUIÇÃOI DE ENERGIA,2025,59760,50260.0,0.8410307898259706
cooperativa,Grupo Cooperativa,cergral,COOPERATIVA DE ELETRICIDADE DE GRAVATAL,2023,27887,24057.0,0.8626600207982213
cooperativa,Grupo Cooperativa,cergral,COOPERATIVA DE ELETRICIDADE DE GRAVATAL,2024,32637,28622.0,0.8769801145938658
cooperativa,Grupo Cooperativa,cergral,COOPERATIVA DE ELETRICIDADE DE GRAVATAL,2025,25504,20372.0,0.7987766624843162
cooperativa,Grupo Cooperativa,cergapa,COOPERATIVA DE ELETRICIDADE DE GRÃO PARÁ,2023,3042,1509.0,0.4960552268244576
cooperativa,Grupo Cooperativa,cergapa,COOPERATIVA DE ELETRICIDADE DE GRÃO PARÁ,2024,5173,934.0,0.18055287067465686
cooperativa,Grupo Cooperativa,cergapa,COOPERATIVA DE ELETRICIDADE DE GRÃO PARÁ,2025,1544,328.0,0.21243523316062177
cooperativa,Grupo Cooperativa,cegero,COOPERATIVA DE ELETRICIDADE DE SÃO LUDGERO,2023,17246,14041.0,0.8141598051722139
cooperativa,Grupo Cooperativa,cegero,COOPERATIVA DE ELETRICIDADE DE SÃO LUDGERO,2024,20208,17653.0,0.8735649247822644
cooperativa,Grupo Cooperativa,cegero,COOPERATIVA DE ELETRICIDADE DE SÃO LUDGERO,2025,16106,12442.0,0.7725071401962001
cooperativa,Grupo Cooperativa,cejama,COOPERATIVA DE ELETRICIDADE JACINTO MACHADO,2023,6255,4620.0,0.7386091127098321
cooperativa,Grupo Cooperativa,cejama,COOPERATIVA DE ELETRICIDADE JACINTO MACHADO,2024,7370,5864.0,0.7956580732700136
cooperativa,Grupo Cooperativa,cejama,COOPERATIVA DE ELETRICIDADE JACINTO MACHADO,2025,5982,3736.0,0.6245402875292544
cooperativa,Grupo Cooperativa,ceprag,COOPERATIVA DE ELETRICIDADE PRAIA GRANDE,2023,72335,62545.0,0.8646574963710514
cooperativa,Grupo Cooperativa,ceprag,COOPERATIVA DE ELETRICIDADE PRAIA GRANDE,2024,66825,56674.0,0.848095772540217
cooperativa,Grupo Cooperativa,ceprag,COOPERATIVA DE ELETRICIDADE PRAIA GRANDE,2025,69141,58739.0,0.8495538103296163
cooperativa,Grupo Cooperativa,celetro,COOPERATIVA DE ELETRIFICAÇÃO CENTRO JACUÍ LTDA.,2023,34481,21240.0,0.6159914155621937
