ano,periodo_regulatorio,qtd_serv,qtd_fora_prazo,compensacao_rs,taxa_fora_prazo,regime_regulatorio
2011,pre_2022,4465359.0,114191.74,608020.26,0.025572801649318678,REN_414
2012,pre_2022,18662552.0,587160.03,5560674.57,0.031461936716907744,REN_414
2013,pre_2022,21798304.87,828517.46,17212256.01,0.03800834353593477,REN_414
2014,pre_2022,21313691.0,840782.0,20002356.830000002,0.03944797735877845,REN_414
2015,pre_2022,22609592.0,1069246.0,32155433.59,0.047291698142982855,REN_414
2016,pre_2022,24679568.0,946340.0,33572778.76,0.038345079622139254,REN_414
2017,pre_2022,25866211.0,986696.0,37880353.09,0.038146135899069254,REN_414
2018,pre_2022,27064107.0,882793.0,40117429.96,0.03261858963238654,REN_414
2019,pre_2022,29692567.0,930043.0,54555324.74,0.03132241816613565,REN_414
2020,pre_2022,24112828.0,768899.0,40265323.1,0.031887549647847194,REN_414
2021,pre_2022,29416470.0,847270.0,45924062.61,0.028802572164505123,REN_414
2022,pos_2022,27376176.0,710246.0,37275391.75,0.025943944837292104,REN_1000
2023,pos_2022,7075110.0,137521.0,49928446.57,0.01943729496785209,REN_1000
