ano,neo_distribuidora,meses_com_dados,qtd_serv_realizado,qtd_fora_prazo,compensacao_rs,uc_ativa_media_ano,exposicao_uc_mes,taxa_fora_prazo,fora_prazo_por_100k_uc_mes,compensacao_rs_por_uc_mes,compensacao_media_por_transgressao_rs
2023,Neoenergia Brasília — NEOENERGIA DISTRIBUIÇÃO BRASÍLIA S.A.,12,652433,3034,2777969.71,1172916.75,14075001,0.0046502859297429,21.555948734923717,0.1973690595119673,915.6129564930784
2024,Neoenergia Brasília — NEOENERGIA DISTRIBUIÇÃO BRASÍLIA S.A.,12,542759,4084,6817583.02,,0,0.0075245182484307,,,1669.339622918707
2025,Neoenergia Brasília — NEOENERGIA DISTRIBUIÇÃO BRASÍLIA S.A.,12,549555,3035,4272767.3,,0,0.0055226501442075,,,1407.8310708401975
2023,Neoenergia Coelba — COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA,12,68708813,35045,19076328.16,6617578.166666667,79410938,0.0005100510177639,44.13120016287933,0.2402229294911489,544.338084177486
2024,Neoenergia Coelba — COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA,12,72185466,28707,41095381.8,,0,0.0003976839326631,,,1431.545678754311
2025,Neoenergia Coelba — COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA,12,40075691,23697,35872530.09,,0,0.0005913060862755,,,1513.800484871503
2023,Neoenergia Cosern — COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE,12,16441663,6835,1865132.675445803,1576295.75,18915549,0.0004157122062409,36.134293538083405,0.0986031478888507,272.879689165443
2024,Neoenergia Cosern — COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE,12,17666873,3874,3118335.6222180594,,0,0.0002192804578376,,,804.9394997981568
2025,Neoenergia Cosern — COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE,12,5513087,1840,1180588.79773975,,0,0.0003337513084774,,,641.6243465976902
2023,Neoenergia Elektro — ELEKTRO REDES S.A.,12,102192822,2610,1361347.65,2952227.4166666665,35426729,2.553995426410673e-05,7.367318614145834,0.0384271336481558,521.5891379310344
2024,Neoenergia Elektro — ELEKTRO REDES S.A.,12,50085158,1696,350467.92,,0,3.386232703908012e-05,,,206.64382075471696
2025,Neoenergia Elektro — ELEKTRO REDES S.A.,12,44924879,734,502892.99,,0,1.6338385686024888e-05,,,685.1403133514987
2023,Neoenergia Pernambuco — COMPANHIA ENERGÉTICA DE PERNAMBUCO,12,36100762,20333,10499861.71,4017691.1666666665,48212294,0.0005632291085711,42.17389033593797,0.2177839061132415,516.3951069689667
2024,Neoenergia Pernambuco — COMPANHIA ENERGÉTICA DE PERNAMBUCO,12,32550577,10914,11363770.79,,0,0.0003352935955636,,,1041.2104443833607
2025,Neoenergia Pernambuco — COMPANHIA ENERGÉTICA DE PERNAMBUCO,12,1481135,8895,6894282.01,,0,0.0060055295432219,,,775.0738628442945
