ano,neo_distribuidora,qtd_serv_realizado,qtd_fora_prazo,compensacao_rs,exposicao_uc_mes,taxa_fora_prazo,fora_prazo_por_100k_uc_mes,compensacao_rs_por_uc_mes,escopo_servico
2023,Neoenergia Brasília — NEOENERGIA DISTRIBUIÇÃO BRASÍLIA S.A.,326610,3034,2777969.71,14075001,0.0092893665227641,21.555948734923717,0.1973690595119673,sem_cod_69_93
2024,Neoenergia Brasília — NEOENERGIA DISTRIBUIÇÃO BRASÍLIA S.A.,350908,4084,6817583.02,0,0.0116383781503983,,,sem_cod_69_93
2025,Neoenergia Brasília — NEOENERGIA DISTRIBUIÇÃO BRASÍLIA S.A.,492134,3035,4272767.3,0,0.0061670195515855,,,sem_cod_69_93
2023,Neoenergia Coelba — COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA,1923938,35045,19076328.16,79410938,0.0182152439423723,44.13120016287933,0.2402229294911489,sem_cod_69_93
2024,Neoenergia Coelba — COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA,1954155,28702,41095381.8,0,0.0146876783059685,,,sem_cod_69_93
2025,Neoenergia Coelba — COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA,2083406,23680,35872530.09,0,0.011366003553796,,,sem_cod_69_93
2023,Neoenergia Cosern — COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE,385624,6830,1865132.675445803,18915549,0.0177115532228284,36.10786025824574,0.0986031478888507,sem_cod_69_93
2024,Neoenergia Cosern — COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE,447368,3871,3086162.50221806,0,0.0086528316732533,,,sem_cod_69_93
2025,Neoenergia Cosern — COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE,641164,1833,1180503.13773975,0,0.0028588629430223,,,sem_cod_69_93
2023,Neoenergia Elektro — ELEKTRO REDES S.A.,973239,2598,1361347.65,35426729,0.0026694367981554,7.333445884885393,0.0384271336481558,sem_cod_69_93
2024,Neoenergia Elektro — ELEKTRO REDES S.A.,1212036,1695,350467.92,0,0.0013984733126738,,,sem_cod_69_93
2025,Neoenergia Elektro — ELEKTRO REDES S.A.,1349642,610,462343.16,0,0.0004519717080529,,,sem_cod_69_93
2023,Neoenergia Pernambuco — COMPANHIA ENERGÉTICA DE PERNAMBUCO,1165310,20333,10499861.71,48212294,0.0174485759154216,42.17389033593797,0.2177839061132415,sem_cod_69_93
2024,Neoenergia Pernambuco — COMPANHIA ENERGÉTICA DE PERNAMBUCO,1331921,10914,11363770.79,0,0.0081941796848311,,,sem_cod_69_93
2025,Neoenergia Pernambuco — COMPANHIA ENERGÉTICA DE PERNAMBUCO,1464831,8895,6894282.01,0,0.0060723728539333,,,sem_cod_69_93
