neo_distribuidora,ano,qtd_serv,qtd_fora_prazo,compensacao_rs,taxa_fora_prazo
Neoenergia Brasília — NEOENERGIA DISTRIBUIÇÃO BRASÍLIA S.A.,2011,90954.0,10833.0,184396.14,0.1191041625437034
Neoenergia Brasília — NEOENERGIA DISTRIBUIÇÃO BRASÍLIA S.A.,2012,298584.0,25763.0,467664.79,0.0862839268011681
Neoenergia Brasília — NEOENERGIA DISTRIBUIÇÃO BRASÍLIA S.A.,2013,225090.0,11502.0,304578.81,0.0510995601759296
Neoenergia Brasília — NEOENERGIA DISTRIBUIÇÃO BRASÍLIA S.A.,2014,181008.0,20760.0,554546.29,0.1146910633784142
Neoenergia Brasília — NEOENERGIA DISTRIBUIÇÃO BRASÍLIA S.A.,2015,250130.0,9558.0,312037.51,0.0382121296925598
Neoenergia Brasília — NEOENERGIA DISTRIBUIÇÃO BRASÍLIA S.A.,2016,205149.0,5449.0,159703.37,0.0265611823601382
Neoenergia Brasília — NEOENERGIA DISTRIBUIÇÃO BRASÍLIA S.A.,2017,214538.0,14711.0,1349258.7100000002,0.0685706028768796
Neoenergia Brasília — NEOENERGIA DISTRIBUIÇÃO BRASÍLIA S.A.,2018,159747.0,16154.0,1176215.49,0.1011223997946753
Neoenergia Brasília — NEOENERGIA DISTRIBUIÇÃO BRASÍLIA S.A.,2019,184491.0,25405.0,1705801.64,0.1377031941937547
Neoenergia Brasília — NEOENERGIA DISTRIBUIÇÃO BRASÍLIA S.A.,2020,201371.0,16377.0,638591.6100000001,0.0813274999875851
Neoenergia Brasília — NEOENERGIA DISTRIBUIÇÃO BRASÍLIA S.A.,2021,230831.0,21385.0,1425441.41,0.0926435357469317
Neoenergia Brasília — NEOENERGIA DISTRIBUIÇÃO BRASÍLIA S.A.,2022,286695.0,12878.0,473189.66,0.0449188161635187
Neoenergia Brasília — NEOENERGIA DISTRIBUIÇÃO BRASÍLIA S.A.,2023,90623.0,226.0,237629.5,0.0024938481400968
Neoenergia Coelba — COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA,2011,260266.0,5443.0,5601.06,0.0209132195523041
Neoenergia Coelba — COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA,2012,1529818.0,22723.0,21525.15,0.0148534008620633
Neoenergia Coelba — COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA,2013,1482119.0,22809.0,271779.24,0.0153894525338383
Neoenergia Coelba — COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA,2014,1366564.0,26188.0,963654.35,0.0191633908108218
Neoenergia Coelba — COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA,2015,1443245.0,24366.0,530393.87,0.0168827884385533
Neoenergia Coelba — COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA,2016,1668469.0,36473.0,1037390.02,0.021860160422519
Neoenergia Coelba — COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA,2017,1774548.0,59549.0,711606.52,0.0335572776842328
Neoenergia Coelba — COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA,2018,1641387.0,52208.0,1509163.38,0.0318072459450452
Neoenergia Coelba — COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA,2019,1595399.0,46263.0,2226895.52,0.0289977616884553
Neoenergia Coelba — COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA,2020,1395030.0,53942.0,2563038.86,0.0386672688042551
