ano,mes,sigagente,nomagente,uc_ativa_mes,qtd_serv_realizado,qtd_fora_prazo,compensacao_rs,taxa_fora_prazo,neo_distribuidora
2023,1,Neoenergia Brasília,NEOENERGIA DISTRIBUIÇÃO BRASÍLIA S.A.,14121840,652433,3034,2777969.71,0.0046502859297429,Neoenergia Brasília — NEOENERGIA DISTRIBUIÇÃO BRASÍLIA S.A.
2024,1,Neoenergia Brasília,NEOENERGIA DISTRIBUIÇÃO BRASÍLIA S.A.,14230530,542759,4084,6817583.02,0.0075245182484307,Neoenergia Brasília — NEOENERGIA DISTRIBUIÇÃO BRASÍLIA S.A.
2025,1,Neoenergia Brasília,NEOENERGIA DISTRIBUIÇÃO BRASÍLIA S.A.,14552444,549555,3035,4272767.300000001,0.0055226501442075,Neoenergia Brasília — NEOENERGIA DISTRIBUIÇÃO BRASÍLIA S.A.
2023,1,Neoenergia Coelba,COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA,79410938,68708813,35045,19076328.16,0.0005100510177639,Neoenergia Coelba — COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA
2024,1,Neoenergia Coelba,COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA,81153562,72185466,28707,41095381.8,0.0003976839326631,Neoenergia Coelba — COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA
2025,1,Neoenergia Coelba,COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA,83475206,40075691,23697,35872530.09,0.0005913060862755,Neoenergia Coelba — COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA
2023,1,Neoenergia Cosern,COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE,18915549,16441663,6835,1865132.675445803,0.0004157122062409,Neoenergia Cosern — COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE
2024,1,Neoenergia Cosern,COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE,19262018,17666873,3874,3118335.6222180603,0.0002192804578376,Neoenergia Cosern — COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE
2025,1,Neoenergia Cosern,COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE,19613957,5513087,1840,1180588.79773975,0.0003337513084774,Neoenergia Cosern — COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE
2023,1,Neoenergia Elektro,ELEKTRO REDES S.A.,35426729,102192822,2610,1361347.65,2.553995426410673e-05,Neoenergia Elektro — ELEKTRO REDES S.A.
2024,1,Neoenergia Elektro,ELEKTRO REDES S.A.,36086467,50085158,1696,350467.92000000004,3.386232703908012e-05,Neoenergia Elektro — ELEKTRO REDES S.A.
2025,1,Neoenergia Elektro,ELEKTRO REDES S.A.,36737771,44924879,734,502892.99,1.6338385686024888e-05,Neoenergia Elektro — ELEKTRO REDES S.A.
2023,1,Neoenergia Pernambuco,COMPANHIA ENERGÉTICA DE PERNAMBUCO,48212294,36100762,20333,10499861.71,0.0005632291085711,Neoenergia Pernambuco — COMPANHIA ENERGÉTICA DE PERNAMBUCO
2024,1,Neoenergia Pernambuco,COMPANHIA ENERGÉTICA DE PERNAMBUCO,49203835,32550577,10914,11363770.79,0.0003352935955636,Neoenergia Pernambuco — COMPANHIA ENERGÉTICA DE PERNAMBUCO
2025,1,Neoenergia Pernambuco,COMPANHIA ENERGÉTICA DE PERNAMBUCO,50212957,1481135,8895,6894282.01,0.0060055295432219,Neoenergia Pernambuco — COMPANHIA ENERGÉTICA DE PERNAMBUCO
