neo_distribuidora,ano,total_serv,serv_focus,share_serv_focus
Neoenergia Brasília — NEOENERGIA DISTRIBUIÇÃO BRASÍLIA S.A.,2023,652433,325823.0,0.4993968729356118
Neoenergia Brasília — NEOENERGIA DISTRIBUIÇÃO BRASÍLIA S.A.,2024,542759,191851.0,0.353473641155651
Neoenergia Brasília — NEOENERGIA DISTRIBUIÇÃO BRASÍLIA S.A.,2025,549555,57421.0,0.104486357143507
Neoenergia Coelba — COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA,2023,68708813,66784875.0,0.9719986721354072
Neoenergia Coelba — COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA,2024,72185466,70231311.0,0.9729286917673982
Neoenergia Coelba — COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA,2025,40075691,37992285.0,0.9480132232779218
Neoenergia Cosern — COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE,2023,16441663,16056039.0,0.9765459248252444
Neoenergia Cosern — COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE,2024,17666873,17219505.0,0.9746775787656368
Neoenergia Cosern — COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE,2025,5513087,4871923.0,0.8837014543757427
Neoenergia Elektro — ELEKTRO REDES S.A.,2023,102192822,101219583.0,0.9904764446176072
Neoenergia Elektro — ELEKTRO REDES S.A.,2024,50085158,48873122.0,0.9758004956278664
Neoenergia Elektro — ELEKTRO REDES S.A.,2025,44924879,43575237.0,0.9699578044495124
Neoenergia Pernambuco — COMPANHIA ENERGÉTICA DE PERNAMBUCO,2023,36100762,34935452.0,0.9677206259524384
Neoenergia Pernambuco — COMPANHIA ENERGÉTICA DE PERNAMBUCO,2024,32550577,31218656.0,0.959081493394111
Neoenergia Pernambuco — COMPANHIA ENERGÉTICA DE PERNAMBUCO,2025,1481135,16304.0,0.0110077744432479
